dt, sx, sy, sz
0.06524476, 0.4697995, -0.6856539, 0.2707509
0.06700377, 0.4699507, -0.6851547, 0.2691433
0.06700377, 0.4702468, -0.6845993, 0.2672459
0.06810343, 0.4706283, -0.6836575, 0.265033
0.06810343, 0.4713793, -0.6827575, 0.262132
0.06673782, 0.4726872, -0.6820561, 0.2588991
0.06673782, 0.4737859, -0.680756, 0.2559481
0.1373304, 0.4761972, -0.6790658, 0.2517613
0.1373304, 0.4778709, -0.6780485, 0.2480948
0.1373304, 0.479671, -0.6771222, 0.2439826
0.1373304, 0.4812379, -0.6759865, 0.2413427
0.07467268, 0.4827833, -0.6745465, 0.2383747
0.07467268, 0.4844265, -0.6726611, 0.2356056
0.06050876, 0.4855947, -0.6710671, 0.2340728
0.06050876, 0.4877396, -0.6691165, 0.2314659
0.1038789, 0.4895825, -0.6671381, 0.2300561
0.1038789, 0.4913721, -0.6648991, 0.2283593
0.1038789, 0.494144, -0.6612022, 0.226102
0.06773565, 0.4972272, -0.6561774, 0.2248413
0.06773565, 0.4986396, -0.6539527, 0.2244923
0.07025099, 0.5018592, -0.649563, 0.2237115
0.07025099, 0.5041304, -0.6459486, 0.2230661
0.07025099, 0.5063462, -0.642398, 0.2227084
0.08138614, 0.509131, -0.6376964, 0.2230719
0.08138614, 0.512238, -0.6339443, 0.2226479
0.0605867, 0.5161309, -0.6279708, 0.2231161
0.0605867, 0.5185122, -0.6242344, 0.2233121
0.1011013, 0.5215192, -0.6201277, 0.2232658
0.1011013, 0.5250363, -0.6153512, 0.2236544
0.1011013, 0.5282917, -0.6105038, 0.2246905
0.1112673, 0.5310626, -0.6065669, 0.2249686
0.1112673, 0.5345635, -0.6020502, 0.2257155
0.1112673, 0.537612, -0.5967758, 0.2268399
0.09772919, 0.5401087, -0.5923706, 0.2273238
0.09772919, 0.5185351, -0.5739788, 0.2300819
0.09772919, 0.521277, -0.5698755, 0.2306142
0.1110068, 0.5243711, -0.5644937, 0.2316293
0.1110068, 0.5274172, -0.5591388, 0.2325751
0.1110068, 0.5298934, -0.5543888, 0.2328535
0.1110068, 0.5331535, -0.5491748, 0.2335371
0.06349287, 0.5358562, -0.5440586, 0.2338169
0.06349287, 0.5386019, -0.5391009, 0.2338028
0.1101577, 0.5426722, -0.5333099, 0.233624
0.1101577, 0.5452595, -0.5298011, 0.2335938
0.1101577, 0.548677, -0.5252137, 0.2333721
0.06063876, 0.5503402, -0.5232984, 0.2330477
0.06063876, 0.553494, -0.5186259, 0.232395
0.1126719, 0.5568972, -0.5137051, 0.2313398
0.1126719, 0.560616, -0.5090249, 0.230285
0.1126719, 0.5639009, -0.5042453, 0.2297746
0.06931574, 0.5672274, -0.4990715, 0.2281825
0.06931574, 0.5707393, -0.4950517, 0.2261887
0.1289948, 0.573709, -0.4918852, 0.2250209
0.1289948, 0.5771313, -0.4884616, 0.2231244
0.1289948, 0.5797658, -0.4855037, 0.2217675
0.1289948, 0.5835524, -0.4826131, 0.218847
0.1485193, 0.5875607, -0.4805629, 0.2152473
0.1485193, 0.5911512, -0.4786838, 0.2129764
0.1485193, 0.5942259, -0.4769223, 0.211416
0.1485193, 0.5983648, -0.4775461, 0.2080627
0.1485193, 0.6010828, -0.4761114, 0.206934
0.09769904, 0.6051359, -0.4762478, 0.2046948
0.09769904, 0.6088166, -0.4755414, 0.2033066
0.09769904, 0.6131463, -0.475522, 0.2012014
0.1298726, 0.6166229, -0.4750772, 0.2002548
0.1298726, 0.6211047, -0.475317, 0.1992886
0.1298726, 0.6254511, -0.4754467, 0.1980722
0.1298726, 0.6309633, -0.4767804, 0.1968944
0.1528915, 0.6351247, -0.4774843, 0.1962943
0.1528915, 0.6396399, -0.4787322, 0.1952904
0.1528915, 0.643795, -0.4806881, 0.1944936
0.1528915, 0.6479011, -0.4829236, 0.1938073
0.1042626, 0.6519756, -0.4857666, 0.1930392
0.1042626, 0.6560979, -0.4891125, 0.1927955
0.1042626, 0.660583, -0.4931169, 0.1928242
0.09712218, 0.6652884, -0.4981527, 0.1927716
0.09712218, 0.6697421, -0.5009685, 0.1925569
0.09712218, 0.6747646, -0.5028385, 0.1918426
0.1105659, 0.6782017, -0.5044116, 0.1916105
0.1105659, 0.6824355, -0.505428, 0.1915496
0.1105659, 0.6870394, -0.5058229, 0.1914382
0.1105659, 0.6915402, -0.5058045, 0.1910914
0.07072032, 0.6966648, -0.5052731, 0.1902526
0.07072032, 0.7013321, -0.50419, 0.1896151
0.1101663, 0.7066369, -0.5022594, 0.1884372
0.1101663, 0.712235, -0.4996525, 0.1874325
0.1101663, 0.7178583, -0.496472, 0.1867254
0.1005455, 0.7239704, -0.4927361, 0.1859447
0.1005455, 0.7302542, -0.4885627, 0.1856456
0.1005455, 0.7366419, -0.4847473, 0.1847758
0.1069799, 0.7427988, -0.4
